机场名称,餐厅编码,餐厅名称,餐厅状态,套餐类型,套餐内容,套餐供应时间,站点类型,航站楼,出发类型,安检类型,位置指引,境内外,机场编码,城市,省份
厦门高崎国际机场,N01444,厦门名小吃(T4-4-2-1-02店),正常使用,餐食体验厅,"饮品：【纯悦矿泉水 * 1】,主食：【红烧猪脚 * 1,银鱼炒长豆 * 1,口口脆笋 * 1,麻婆豆腐 * 1,米饭 * 1】",10:30-20:30,机场,T4航站楼,国内出发,安检后,隔离区内安检口值机岛上夹层,境内,XMN,厦门市,福建省
石家庄正定国际机场,N01447,舌尖尖牛肉面,正常使用,餐食体验厅,"饮品：【杨枝甘露 * 1】,配菜：【葱香鲜腐竹 * 1,葱油罗马生菜 * 1,肉夹馍 * 1】,主食：【原味牛肉拉面 * 1】",06:00-22:00,机场,T2航站楼,国内出发,安检后,24至25登机口中间位置,境内,SJW,石家庄市,河北省
武汉天河国际机场,N01575,湖北特色名小吃(2W2-01店),正常使用,餐食体验厅,"汤品：【海带排骨汤 * 1】,主食：【萝卜牛腩 * 1,酸菜鱼 * 1,清炒时蔬 * 1,米饭 * 1】",10:00-21:00,机场,T3航站楼,国内出发,安检后,出发2层11号登机口,境内,WUH,武汉市,湖北省
南宁吴圩国际机场,N01592,德克士(26号登机口),正常使用,餐食体验厅,"饮品：【百事可乐（中杯） * 1】,小食：【咔滋薯霸 * 1,绵绵红豆鲷鱼烧 * 1】,主食：【一桶都是辣翅 * 1】",06:30-本区域航班结束,机场,T2航站楼,国内出发,安检后,国内26号登机口附近,境内,NNG,南宁市,广西壮族自治区
北京大兴国际机场,N02396,无敌家,正常使用,餐食体验厅,"饮品：【可尔必思 * 1】,配菜：【热舞章鱼丸子 * 1,日式出汁煎饺 * 1】,主食：【猪软骨拉面 * 1】",06:00-22:00,机场,主航站楼,国内出发,安检后,A指廊A02登机口对面,境内,PKX,北京市,北京市
西安咸阳国际机场,N01807,陇兴楼(南远机位店),正常使用,餐食体验厅,"饮品：【西柠可乐1杯 * 1】,小食：【香拌牛肉1份 * 1,卤鸡蛋1个 * 1】,主食：【精品原味拉面套餐1份 * 1,纸巾1包 * 1】",06:20-21:00,机场,T3航站楼,国内出发,安检后,南远机位H05登机口旁,境内,XIY,西安市,陕西省
西安咸阳国际机场,N01986,陇兴楼(8号登机口),正常使用,餐食体验厅,"饮品：【西柠可乐1杯 * 1】,小食：【香拌牛肉1份 * 1,卤鸡蛋1个 * 1】,主食：【精品原味拉面套餐1份 * 1,纸巾1包 * 1】",06:20-21:00,机场,T2航站楼,国内出发,安检后,8号登机口旁,境内,XIY,西安市,陕西省
西安咸阳国际机场,N01987,普奇咖啡(20号登机口),正常使用,餐食体验厅,"饮品：【西柠可乐1杯 * 1】,小食：【香拌牛肉1份 * 1,卤鸡蛋1个 * 1】,主食：【精品原味拉面套餐1份 * 1,纸巾1包 * 1】",06:20-21:00,机场,T2航站楼,国内出发,安检后,安检内20号登机口旁,境内,XIY,西安市,陕西省
西安咸阳国际机场,N01988,陇兴楼牛肉拉面&茶话弄,正常使用,餐食体验厅,"饮品：【西柠可乐1杯 * 1】,小食：【香拌牛肉1份 * 1,卤鸡蛋1个 * 1】,主食：【精品原味拉面套餐1份 * 1,纸巾1包 * 1】",06:20-21:00,机场,T3航站楼,国内出发,安检后,H54号登机口,境内,XIY,西安市,陕西省
珠海金湾机场,N02015,粤港茶餐厅（B区）,正常使用,餐食体验厅,"饮品：【柠檬果茶 * 1】,配菜：【爽口萝卜皮 * 1,白灼生菜 * 1】,主食：【盐焗鸡 * 1,米饭 * 1,一次性餐具包 * 1】",07:30-21:30,机场,T2航站楼,国内出发,安检后,二楼出发B区隔离区东指廊11号登机口旁,境内,ZUH,珠海市,广东省
