机场名称,服务权益机构,龙腾网点编码,站点名称,省份,城市,机场编码,休息室名称,航站楼,安检类型,品质贵宾厅（是/否）,品质厅亮点,休息室位置,出发类型,服务内容,服务时长（小时）,营业时间
黄山屯溪国际机场,"移动,全球通,移动全球通",N04929,黄山屯溪国际机场,安徽省,黄山市,TXN,国际休息室,主航站楼,安检后,否,,安检后，国际休息室,国际出发,"小食,茶水/饮料,空调",2小时,early-late-flight
上海浦东国际机场,"移动,全球通,移动全球通",N00020,上海浦东国际机场,上海市,上海市,PVG,9号贵宾休息室(T1国内),T1航站楼,安检后,否,,"安检后，右转直行350米，9号登机口附近乘电梯下至2层""9号贵宾休息室”",国内出发,"空调,航班显示器,小食,茶水/饮料,餐食（冷/热）",2小时,06:00 - 航班结束
上海浦东国际机场,"移动,全球通,移动全球通",N00021,上海浦东国际机场,上海市,上海市,PVG,73号头等舱休息室(T2国内),T2航站楼,安检后,否,,安检后，乘电梯下二层，右转直行约100米右侧，位于73号、75号登机口中间“73号头等舱休息室”,国内出发,"空调,茶水/饮料,小食,WiFi,支持虚拟卡,报刊杂志,电视",2小时,06:00 - 航班结束
上海浦东国际机场,"移动,全球通,移动全球通",N00022,上海浦东国际机场,上海市,上海市,PVG,39号头等舱休息室(T1国际),T1航站楼,安检后,否,,安检10-11通道中间电梯上至4楼39号贵宾室,国际出发,"小食,茶水/饮料,餐食（冷/热）,空调,航班显示器",2小时,06:00_22:00
上海虹桥国际机场,"移动,全球通,移动全球通,广州银行,广州银行龙腾卡",N00024,上海虹桥国际机场,上海市,上海市,SHA,V03贵宾休息室(T1国际),T1航站楼,安检后,否,,"安检后,乘自动扶梯上至四层V03贵宾休息室.",国际出发,"休息室休息,小食,茶水/饮料",2小时,06:00 - 最晚航班
上海虹桥国际机场,"移动,全球通,移动全球通,广州银行,广州银行龙腾卡",N00026,上海虹桥国际机场,上海市,上海市,SHA,V1贵宾休息室(T2国内),T2航站楼,安检后,否,,"左转直行(25、26号登机口附近)"" V1号贵宾休息室”.",国内出发,"休息室休息,小食,茶水/饮料",2小时,05:30-最晚航班
广州白云国际机场,"移动,全球通,移动全球通",N00027,广州白云国际机场,广东省,广州市,CAN,16号门机场通会员接待中心(T1国内),T1航站楼,安检前,是,协办值机、优先安检、航司休息室,安检前，16号门进门右侧约10米,国内出发,"支持虚拟卡,接待柜台",2小时,06:30_21:00
广州白云国际机场,"移动,全球通,移动全球通",N00030,广州白云国际机场,广东省,广州市,CAN,东航头等舱休息室(T1国内),T1航站楼,安检后,是,头等舱同款,A区三楼国内安检后，左转直行500米左右“东航休息室”；,国内出发,"报刊杂志,电视,电脑,航班显示器,独立洗手间,空调,茶水/饮料,小食,WiFi",2小时,06:30_21:30
广州白云国际机场,"移动,全球通,移动全球通,广州银行,广州银行龙腾卡",N00031,广州白云国际机场,广东省,广州市,CAN,国航头等舱休息室(T1国内),T1航站楼,安检后,是,头等舱同款,"B区三层，安检后，左转直行500米左右,靠近登机口213支廊",国内出发,"小食,广播提醒登机,按摩椅,WiFi,报刊杂志,空调,茶水/饮料,电脑,航班显示器,支持虚拟卡,电视",2小时,06:30_21:30
广州白云国际机场,"移动,全球通,移动全球通",N00036,广州白云国际机场,广东省,广州市,CAN,海航头等舱休息室(T1国内),T1航站楼,安检后,是,头等舱同款,B区三层安检后右转直行50米,国内出发,"WiFi,支持虚拟卡,餐食（冷/热）,电视,报刊杂志,电脑,航班显示器,空调,茶水/饮料,小食,广播提醒登机",2小时,06:30_21:30
广州白云国际机场,"移动,全球通,移动全球通",N00046,广州白云国际机场,广东省,广州市,CAN,Premium Lounge(T1国际),T1航站楼,安检后,否,,"出境检查后直行,免税店旁.",国际出发,"按摩椅,WiFi,餐食（冷/热）,电脑,航班显示器,空调,茶水/饮料,酒精饮料,支持虚拟卡,广播提醒登机,电视,报刊杂志,小食",2小时,24小时
深圳宝安国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡",N00064,深圳宝安国际机场,广东省,深圳市,SZX,V3南航明珠精英会员休息室 (T3国内),T3航站楼,安检后,是,头等舱同款,"四层过安检后乘手扶电梯下至三层,直行约10米乘右侧手扶电梯下至二层'南航明珠精英会员休息室'.(休息室位于二层,21号登机口位于三层.)",国内出发,"小食,按摩椅,WiFi,报刊杂志,水果,餐食（冷/热）,电视,电脑,航班显示器,空调,儿童游乐区,茶水/饮料",2小时,06:00_20:30
北海福成机场,"移动,全球通,移动全球通",N00072,北海福成机场,广西壮族自治区,北海市,BHY,头等舱休息室,主航站楼,安检后,否,,安检后右转“头等舱”,国内出发,"报刊杂志,小食,茶水/饮料,空调,WiFi,电视",2小时,06:30-最晚航班
长沙黄花国际机场,"移动,全球通,移动全球通,中信银行,中信银行龙腾卡",N00095,长沙黄花国际机场,湖南省,长沙市,CSX,T1-3号头等舱休息室(T1国内),T1航站楼,安检后,否,,"安检后,右转直行约150米",国内出发,"行李寄存,茶水/饮料,小食,WiFi,支持虚拟卡,报刊杂志,电视,电脑",2小时,09:00_20:00
长治王村机场,"移动,全球通,移动全球通",N00104,长治王村机场,山西省,长治市,CIH,头等舱休息室,主航站楼,安检后,否,,安检后二楼4号登机口对面,国内出发,"报刊杂志,空调,茶水/饮料,人工提醒登机,支持虚拟卡",2小时,最早航班-最晚航班（航班起飞前2小时开放）
常德桃花源机场,"移动,全球通,移动全球通",N00107,常德桃花源机场,湖南省,常德市,CGD,头等舱休息室,主航站楼,安检后,否,,安检后左转50米,国内出发,"传真,报刊杂志,电视,电脑,空调,茶水/饮料,小食,人工提醒登机,支持虚拟卡,打印",2小时,early-late-flight
揭阳潮汕国际机场,"移动,全球通,移动全球通",N00114,揭阳潮汕国际机场,广东省,揭阳市,SWA,南航明珠俱乐部,主航站楼,安检后,是,航司休息室,"安检后右转直行50米,20A登机口附近.",国内出发,"餐食（冷/热）,面食,充电,按摩椅,观景区,电视,航班显示器,行李寄存,茶水/饮料,空调,小食,WiFi,打印,报刊杂志",2小时,6:30-南航出港航班结束
成都双流国际机场,"移动,全球通,移动全球通",N00153,成都双流国际机场,四川省,成都市,CTU,F指廊休息室(T2国内),T2航站楼,安检后,否,,"安检后,169登机口旁.",国内出发,"报刊杂志,航班显示器,空调,茶水/饮料,小食,支持虚拟卡,电视,电脑",2小时,06:00_23:00
成都双流国际机场,"移动,全球通,移动全球通",N00154,成都双流国际机场,四川省,成都市,CTU,EF连廊休息室(T2国内）,T2航站楼,安检后,否,,"安检后,155登机口旁.",国内出发,"广播提醒登机,支持虚拟卡,报刊杂志,电视,电脑,航班显示器,茶水/饮料,小食",2小时,06:00_23:00
成都双流国际机场,"移动,全球通,移动全球通",N00155,成都双流国际机场,四川省,成都市,CTU,DE连廊休息室(T2国内）,T2航站楼,安检后,否,,"安检后,143登机口旁。",国内出发,"报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料,小食,广播提醒登机,支持虚拟卡",2小时,06:00_23:00
重庆江北国际机场,"移动,全球通,移动全球通",N00156,重庆江北国际机场,重庆市,重庆市,CKG,A指廊头等舱休息室(T2国内),T2航站楼,安检后,否,,"安检后右转直行约50米,于12号登机口旁""头等舱休息""室指示牌处下楼至夹层",国内出发,"空调,茶水/饮料,小食,广播提醒登机,WiFi,支持虚拟卡,电视,电脑,航班显示器",2小时,early-late-flight
重庆江北国际机场,"移动,全球通,移动全球通",N00157,重庆江北国际机场,重庆市,重庆市,CKG,B指廊头等舱休息室(T2国内),T2航站楼,安检后,否,,"安检后直行约15米,B01号登机口对面",国内出发,"报刊杂志,电视,电脑,航班显示器,空调,茶水/饮料,小食,WiFi,餐食（冷/热）,支持虚拟卡",2小时,early-late-flight
