高铁/火车站名称,餐厅编码,餐厅名称,状态,套餐类型,套餐内容,套餐供应时间,城市,站点类型,境内外,国家,省份,安检类型,位置指引
苏州站,N01424,真功夫,正常使用,餐食体验厅,"饮品：【四季猪骨汤/金杏蜜桃汁/百事可乐/醇香豆浆 * 1】,配菜：【生菜王/田园彩豆/西兰花 * 1,香滑蒸蛋/外婆菜 * 1】,主食：【排骨拼鸡腿肉饭/冬菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/梅菜扣肉饭 * 1】",10:00-19:00,苏州市,高铁,境内,中国,江苏省,安检前,北广场到达层(负一层)
上海虹桥站,N01427,真功夫(三店),正常使用,餐食体验厅,"饮品：【四季猪骨汤/金杏蜜桃汁/百事可乐/醇香豆浆 * 1】,配菜：【田园彩豆/西兰花 * 1,香滑蒸蛋/外婆菜 * 1】,主食：【冬菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/梅菜扣肉饭 * 1】",10:00-20:30,上海市,高铁,境内,中国,上海市,安检后,南进站口1B检票口楼上（路径：负一楼乘电梯到2楼过安检进站之后在3楼）
长沙南站,N01433,真功夫,正常使用,餐食体验厅,"饮品：【四季猪骨汤/金杏蜜桃汁/百事可乐/醇香豆浆 * 1】,配菜：【田园彩豆/西兰花/生菜王 * 1,香滑蒸蛋/外婆菜 * 1】,主食：【排骨拼鸡腿肉饭/冬菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/香干炒肉饭 * 1】",10:00-20:00,长沙市,高铁,境内,中国,湖南省,安检后,A区A5检票口楼上
北京站,N01524,康师傅私房牛肉面,正常使用,餐食体验厅,"饮品：【百事可乐 * 1】,配菜：【翠玉黄瓜 * 1】,主食：【私房红烧牛肉捞饭 * 1】",09:00-20:00,北京市,高铁,境内,中国,北京市,安检前,出站口西侧
深圳北站,N01607,真功夫(A区),正常使用,餐食体验厅,"汤品：【四季猪骨汤/金杏蜜桃汁 * 1】,小食：【田园彩豆 * 1,大白饭 * 1】,配菜：【咖喱鱼丸/西兰花/香滑蒸蛋/外婆菜 * 1】,主食：【冬菇鸡腿肉/香汁排骨/酸菜卤肉 * 1】",10:00-20:00,深圳市,高铁,境内,中国,广东省,安检后,候车室西面夹层
沈阳北站,N01621,真功夫(沈阳北站3店),正常使用,餐食体验厅,"汤品：【四季猪骨汤/金杏蜜桃汁/百事可乐/热豆浆 * 1】,小食：【香滑蒸蛋/外婆菜 * 1,生菜王/西兰花 * 1】,主食：【排骨拼鸡腿肉饭/冬(香)菇鸡腿肉饭/酸菜卤肉饭/鱼香茄子饭/土豆烧肉饭 * 1】",10:00-19:00,沈阳市,高铁,境内,中国,辽宁省,安检后,南进站口出发大厅电梯东面
上海虹桥站,N02011,餐食体验厅-永和大王(出发层3F-C2),正常使用,餐食体验厅,"饮品：【大磨王现磨豆浆 * 1】,小食：【茶叶蛋 * 1】,主食：【番茄牛腩面 * 1】",10:00-20:00,上海市,高铁,境内,中国,上海市,安检后,出发层3楼一号站台楼上（1A检票口楼上）
太原南站,N02084,德克士,正常使用,餐食体验厅,"饮品：【中杯可乐/热香橙 * 1】,小食：【小份薯条 * 1】,主食：【照烧鸡腿饭 * 1】",09:30-19:30,太原市,高铁,境内,中国,山西省,安检后,候车大厅三层南区商业平台餐饮区NC-3号
南昌西站,N02309,迪欧咖啡,正常使用,餐食体验厅,"饮品：【蜂蜜柚子茶（热） * 1】,主食：【啤酒鸭煲仔饭 * 1,小炒牛肉煲仔饭 * 1,香菇滑鸡煲仔饭 * 1】",07:00-19:30,南昌市,高铁,境内,中国,江西省,安检后,"北区夹层二楼,检票口楼上"
上海虹桥站,N02420,吉祥馄饨(虹桥一店),正常使用,餐食体验厅,"饮品：【可口可乐/酸梅汤/冰凉雪碧/香醇豆浆/苏打橙汁 * 1】,小食：【白玉牛肉饼 * 1,卤蛋 * 1】,主食：【红烧牛肉面 * 1】",05:30-21:00,上海市,高铁,境内,中国,上海市,安检后,23A-29A检票口上方KFC旁边
